TestPhase,Elapsed,Connected,Reconnected,Disconnected,ServerAvailableMBytes,ServerTcpConnectionsEst
Connect,00:00:00.0000030,0,0,0,0,0
Connect,00:00:01.0187698,0,0,0,0,0
Connect,00:00:02.0236240,2,0,0,0,0
Connect,00:00:03.0290731,5,0,0,0,0
Connect,00:00:04.0340663,9,0,0,0,0
Connect,00:00:05.0392312,12,0,0,0,0
Connect,00:00:06.0443197,15,0,0,0,0
Connect,00:00:07.0491660,18,0,0,0,0
Connect,00:00:08.0535065,22,0,0,0,0
Connect,00:00:09.0581435,25,0,0,0,0
Connect,00:00:10.0625338,29,0,0,0,0
Connect,00:00:11.0674614,32,0,0,0,0
Connect,00:00:12.0724925,35,0,0,0,0
Connect,00:00:13.0773368,38,0,0,0,0
Connect,00:00:14.0820004,42,0,0,0,0
Connect,00:00:15.0865639,45,0,0,0,0
Connect,00:00:16.0920916,48,0,0,0,0
Connect,00:00:17.0968218,52,0,0,0,0
Connect,00:00:18.1020086,55,0,0,0,0
Connect,00:00:19.1075267,58,0,0,0,0
Connect,00:00:20.1127282,61,0,0,0,0
Connect,00:00:21.1179212,65,0,0,0,0
Connect,00:00:22.1233078,68,0,0,0,0
Connect,00:00:23.1288512,71,0,0,0,0
Connect,00:00:24.1344800,74,0,0,0,0
Connect,00:00:25.1396907,78,0,0,0,0
Connect,00:00:26.1447416,81,0,0,0,0
Connect,00:00:27.1503530,84,0,0,0,0
Connect,00:00:28.1557918,88,0,0,0,0
Connect,00:00:29.1618666,91,0,0,0,0
Connect,00:00:30.1676023,94,0,0,0,0
Connect,00:00:31.1735606,97,0,0,0,0
Connect,00:00:32.1787505,101,0,0,0,0
Connect,00:00:33.1836679,104,0,0,0,0
Connect,00:00:34.1886898,107,0,0,0,0
Connect,00:00:35.1940303,110,0,0,0,0
Connect,00:00:36.1995460,113,0,0,0,0
Connect,00:00:37.2049873,117,0,0,0,0
Connect,00:00:38.2100590,120,0,0,0,0
Connect,00:00:39.2145942,123,0,0,0,0
Connect,00:00:40.2196778,125,0,0,0,0
Connect,00:00:41.2241341,128,0,0,0,0
Connect,00:00:42.2287267,132,0,0,0,0
Connect,00:00:43.2339648,135,0,0,0,0
Connect,00:00:44.2389204,138,0,0,0,0
Connect,00:00:45.2441062,141,0,0,0,0
Connect,00:00:46.2490174,144,0,0,0,0
Connect,00:00:47.2535765,147,0,0,0,0
Connect,00:00:48.2583842,150,0,0,0,0
Connect,00:00:49.2630369,153,0,0,0,0
Connect,00:00:50.2679802,156,0,0,0,0
Connect,00:00:51.2729720,159,0,0,0,0
Connect,00:00:52.2781168,162,0,0,0,0
Connect,00:00:53.2828104,166,0,0,0,0
Connect,00:00:54.2877343,169,0,0,0,0
Connect,00:00:55.2928176,171,0,0,0,0
Connect,00:00:56.2980297,174,0,0,0,0
Connect,00:00:57.3042316,177,0,0,0,0
Connect,00:00:58.3098224,180,0,0,0,0
Connect,00:00:59.3147128,184,0,0,0,0
Connect,00:01:00.3199358,187,0,0,0,0
Connect,00:01:01.3252770,190,0,0,0,0
Connect,00:01:02.3310598,193,0,0,0,0
Connect,00:01:03.3369505,197,0,0,0,0
Connect,00:01:04.3422613,200,0,0,0,0
Connect,00:01:05.3470687,203,0,0,0,0
Connect,00:01:06.3518037,206,0,0,0,0
Connect,00:01:07.3572829,209,0,0,0,0
Connect,00:01:08.3622351,213,0,0,0,0
Connect,00:01:09.3672050,216,0,0,0,0
Connect,00:01:10.3722334,218,0,0,0,0
Connect,00:01:11.3771186,221,0,0,0,0
Connect,00:01:12.3817751,224,0,0,0,0
Connect,00:01:13.3865934,228,0,0,0,0
Connect,00:01:14.3915394,231,0,0,0,0
Connect,00:01:15.3971381,235,0,0,0,0
Connect,00:01:16.4027088,238,0,0,0,0
Connect,00:01:17.4078376,241,0,0,0,0
Connect,00:01:18.4134346,244,0,0,0,0
Connect,00:01:19.4188069,247,0,0,0,0
Connect,00:01:20.4239998,250,0,0,0,0
Connect,00:01:21.4290617,253,0,0,0,0
Connect,00:01:22.4347328,257,0,0,0,0
Connect,00:01:23.4399514,260,0,0,0,0
Connect,00:01:24.4459640,263,0,0,0,0
Connect,00:01:25.4510258,266,0,0,0,0
Connect,00:01:26.4563838,269,0,0,0,0
Connect,00:01:27.4613684,272,0,0,0,0
Connect,00:01:28.4665156,275,0,0,0,0
Connect,00:01:29.4712909,279,0,0,0,0
Connect,00:01:30.4765156,282,0,0,0,0
Connect,00:01:31.4819842,285,0,0,0,0
Connect,00:01:32.4869549,288,0,0,0,0
Connect,00:01:33.4921519,292,0,0,0,0
Connect,00:01:34.4971068,295,0,0,0,0
Connect,00:01:35.5024538,298,0,0,0,0
Connect,00:01:36.5081560,301,0,0,0,0
Connect,00:01:37.5134989,305,0,0,0,0
Connect,00:01:38.5188009,308,0,0,0,0
Connect,00:01:39.5239703,310,0,0,0,0
Connect,00:01:40.5288699,311,0,0,0,0
Connect,00:01:41.5341370,315,0,0,0,0
Connect,00:01:42.5389945,318,0,0,0,0
Connect,00:01:43.5441315,321,0,0,0,0
Connect,00:01:44.5499211,324,0,0,0,0
Connect,00:01:45.5553986,328,0,0,0,0
Connect,00:01:46.5606373,331,0,0,0,0
Connect,00:01:47.5660431,334,0,0,0,0
Connect,00:01:48.5712016,337,0,0,0,0
Connect,00:01:49.5766555,340,0,0,0,0
Connect,00:01:50.5820236,343,0,0,0,0
Connect,00:01:51.5873860,346,0,0,0,0
Connect,00:01:52.5927822,349,0,0,0,0
Connect,00:01:53.5978911,352,0,0,0,0
Connect,00:01:54.6032979,355,0,0,0,0
Connect,00:01:55.6085261,358,0,0,0,0
Connect,00:01:56.6137989,361,0,0,0,0
Connect,00:01:57.6203522,364,0,0,0,0
Connect,00:01:58.6260937,368,0,0,0,0
Connect,00:01:59.6316531,371,0,0,0,0
Connect,00:02:00.6374609,374,0,0,0,0
Connect,00:02:01.6426094,377,0,0,0,0
Connect,00:02:02.6478816,380,0,0,0,0
Connect,00:02:03.6529633,384,0,0,0,0
Connect,00:02:04.6579831,387,0,0,0,0
Connect,00:02:05.6630797,390,0,0,0,0
Connect,00:02:06.6685948,393,0,0,0,0
Connect,00:02:07.6745535,397,0,0,0,0
Connect,00:02:08.6799691,400,0,0,0,0
Connect,00:02:09.6859599,404,0,0,0,0
Connect,00:02:10.6916348,405,0,0,0,0
Connect,00:02:11.6971232,407,0,0,0,0
Connect,00:02:12.7027793,410,0,0,0,0
Connect,00:02:13.7089504,413,0,0,0,0
Connect,00:02:14.7147397,416,0,0,0,0
Connect,00:02:15.7206737,420,0,0,0,0
Connect,00:02:16.7265119,422,0,0,0,0
Connect,00:02:17.7324381,425,0,0,0,0
Connect,00:02:18.7379897,429,0,0,0,0
